London-Road,South-Willesborough,Collyhurst-Weir,Alfoldean,Denham-Lodge,Kirkby,Morwick,Ower,Great-Corby,Elm-Park-(Bretons-Farm)
0.736,1.35,1.33,2.97,0.368,1.93,7.4,1.19,39.5,0.23
0.785,1.91,1.52,5.7,0.427,1.71,7.22,4.4,60.7,0.82
0.776,2.65,1.53,6.28,0.415,2.12,6.77,3.41,51.5,0.604
0.71,1.96,1.57,3.58,0.383,1.82,7.01,1.85,54.3,0.362
0.664,1.37,1.45,2.68,0.364,1.47,8.15,2.51,74.4,0.297
0.849,1.12,1.65,2.19,0.35,1.47,7.88,1.42,82.9,0.232
0.725,1.04,1.34,2.15,0.345,1.2,8.83,1.33,88.5,0.207
0.571,0.882,1.07,1.71,0.317,0.96,6.89,1,58.1,0.17
0.534,0.803,1.12,1.44,0.321,1.19,6.52,0.87,54.7,0.147
0.61,0.786,1.4,1.33,0.299,1.54,17.6,0.851,172,0.147
4.14,0.766,7.16,1.32,0.302,8.1,28.2,0.847,286,0.155
1.8,0.751,2.93,1.86,0.321,4.21,15.2,1.36,126,0.223
1.09,0.682,1.76,1.52,0.286,2.25,23.7,0.912,82.6,0.155
0.784,0.635,1.32,1.27,0.282,1.61,13.9,0.783,63.2,0.14
0.642,0.628,1.13,1.14,0.281,1.36,10.5,0.71,52,0.128
0.586,0.617,1.14,1.06,0.285,1.2,9.52,0.674,46.4,0.129
0.53,0.601,1.09,0.986,0.266,1.07,8.43,0.647,40.7,0.133
0.477,0.606,1.02,0.913,0.265,0.98,7.89,0.618,36.7,0.131
0.441,0.589,0.979,0.868,0.266,0.934,7.06,0.595,32.9,0.13
0.439,0.579,1,0.832,0.26,0.876,6.49,0.581,30.1,0.143
0.482,0.607,1.17,0.926,0.265,0.751,6.63,0.572,28.3,0.185
0.395,0.559,0.918,0.855,0.255,0.79,7.5,0.534,25.4,0.132
0.377,0.528,0.9,0.799,0.254,0.78,7.73,0.515,23.7,0.125
0.362,0.496,0.878,0.749,0.246,0.714,7.05,0.49,22.4,0.119
